10001,7
10002,1
10003,12
10004,7
10007,2
10009,3
10010,26
10011,3
10012,3
10013,11
10016,47
10017,7
10018,5
10019,13
10021,28
10022,28
10023,4
10024,5
10025,8
10027,2
10028,18
10029,5
10031,1
10032,15
10036,2
10037,1
10038,2
10040,2
10044,1
10065,13
10075,11
10128,8
10170,1
10301,1
10304,2
10305,8
10306,8
10308,1
10309,3
10310,2
10312,3
10314,9
10451,2
10455,1
10457,2
10458,3
10461,26
10463,6
10465,2
10467,14
10468,2
10469,2
10471,1
10475,1
11004,1
11005,2
11101,2
11102,2
11103,2
11106,2
11201,11
11203,13
11204,4
11206,1
11207,1
11208,1
11209,18
11210,13
11211,4
11212,1
11213,1
11214,3
11215,4
11216,2
11217,2
11218,6
11219,5
11220,5
11222,2
11223,2
11225,1
11228,2
11229,12
11230,19
11231,1
11234,12
11235,13
11238,2
11239,1
11354,9
11355,9
11357,9
11358,4
11360,6
11361,5
11362,3
11363,6
11364,2
11365,1
11366,3
11367,8
11368,1
11369,1
11370,2
11372,2
11373,12
11374,4
11375,13
11377,1
11378,1
11379,1
11385,5
11412,1
11414,1
11415,3
11417,1
11418,2
11421,1
11422,1
11426,1
11427,1
11429,1
11432,1
11434,1
11435,1
11439,1
11691,2
11693,2
11694,1
